サンプルID,取引日,金額,数量,承認状況,備考,システム記録,納品日,請求日,計上日,差異
INV-2025-001,2025-04-05,150000,100,承認済み,標準取引,記録あり,2025-04-05,2025-04-06,2025-04-06,なし
INV-2025-050,2025-04-15,250000,50,承認済み,標準取引,記録あり,2025-04-15,2025-04-16,2025-04-16,なし
INV-2025-100,2025-05-10,180000,75,承認済み,標準取引,記録あり,2025-05-10,2025-05-11,2025-05-11,なし
INV-2025-150,2025-05-20,320000,120,未承認,承認印漏れ,記録あり,2025-05-20,2025-05-21,2025-05-21,承認なし
INV-2025-200,2025-06-08,95000,40,承認済み,標準取引,記録あり,2025-06-08,2025-06-09,2025-06-09,なし
INV-2025-250,2025-06-18,210000,85,承認済み,標準取引,記録あり,2025-06-18,2025-06-19,2025-06-19,なし
INV-2025-300,2025-07-05,165000,60,承認済み,標準取引,記録あり,2025-07-05,2025-07-06,2025-07-06,なし
INV-2025-350,2025-07-22,275000,110,承認済み,標準取引,記録あり,2025-07-22,2025-07-23,2025-07-23,なし
INV-2025-400,2025-08-12,145000,55,承認済み,標準取引,記録あり,2025-08-12,2025-08-13,2025-08-13,なし
INV-2025-450,2025-08-28,305000,95,承認済み,標準取引,記録あり,2025-08-28,2025-08-29,2025-08-29,なし
INV-2025-500,2025-09-10,175000,70,承認済み,標準取引,記録あり,2025-09-10,2025-09-11,2025-09-11,なし
INV-2025-550,2025-09-25,220000,80,承認済み,標準取引,記録あり,2025-09-25,2025-09-26,2025-09-26,なし
INV-2025-600,2025-10-08,195000,65,承認済み,標準取引,記録あり,2025-10-08,2025-10-09,2025-10-09,なし
INV-2025-650,2025-10-20,285000,100,承認済み,標準取引,記録あり,2025-10-20,2025-10-21,2025-10-21,なし
INV-2025-700,2025-11-05,155000,50,承認済み,標準取引,記録あり,2025-11-05,2025-11-06,2025-11-06,なし
INV-2025-750,2025-11-18,265000,105,承認済み,標準取引,記録あり,2025-11-18,2025-11-19,2025-11-19,なし
INV-2025-800,2025-12-02,135000,45,承認済み,標準取引,記録あり,2025-12-02,2025-12-03,2025-12-03,なし
INV-2025-850,2025-12-15,295000,115,承認済み,標準取引,記録あり,2025-12-15,2025-12-16,2025-12-16,なし
INV-2025-900,2025-12-22,185000,72,承認済み,標準取引,記録あり,2025-12-22,2025-12-23,2025-12-23,なし
INV-2025-950,2025-12-28,245000,92,承認済み,標準取引,記録あり,2025-12-28,2025-12-29,2025-12-29,なし
INV-2025-1000,2025-04-12,125000,35,承認済み,標準取引,記録あり,2025-04-12,2025-04-13,2025-04-13,なし
INV-2025-1050,2025-05-30,275000,98,承認済み,標準取引,記録あり,2025-05-30,2025-05-31,2025-05-31,なし
INV-2025-1100,2025-08-05,165000,68,承認済み,標準取引,記録あり,2025-08-05,2025-08-06,2025-08-06,なし
INV-2025-1150,2025-09-14,315000,125,承認済み,標準取引,記録あり,2025-09-14,2025-09-15,2025-09-15,なし
INV-2025-1200,2025-11-25,205000,78,承認済み,標準取引,記録あり,2025-11-25,2025-11-26,2025-11-26,なし
