No.,サンプル識別情報,テスト内容,テスト結果,発見事項,不備の性質,影響度
1,PO-2025-0001,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
2,PO-2025-0050,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
3,PO-2025-0100,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
4,PO-2025-0150,金額・数量・日付一致確認、承認印確認,NG,承認印がない,手続の遺漏,軽微
5,PO-2025-0200,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
6,PO-2025-0250,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
7,PO-2025-0300,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
8,PO-2025-0350,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
9,PO-2025-0400,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
10,PO-2025-0450,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
11,PO-2025-0500,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
12,PO-2025-0550,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
13,PO-2025-0600,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
14,PO-2025-0650,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
15,PO-2025-0700,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
16,PO-2025-0750,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
17,PO-2025-0800,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
18,PO-2025-0850,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
19,PO-2025-0900,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
20,PO-2025-0950,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
21,PO-2025-1000,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
22,PO-2025-1050,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
23,PO-2025-1100,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
24,PO-2025-1150,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
25,PO-2025-1200,金額・数量・日付一致確認、承認印確認,OK,なし,-,軽微
